metadata,1_nodes
1,373.67663699999997
1,6.894829
1,4.918493
1,4.844296
1,6.559168
1,28.128739
1,12.651608
1,11.69686
1,12.471606999999999
1,11.762592
2,26.573344
2,12.497202
2,11.614251999999999
2,11.160789
2,11.753523999999999
2,
2,
2,
2,
2,
3,17.710561
3,15.546700999999999
3,11.082618
3,11.722845
3,12.773811
3,
3,
3,
3,
3,
4,15.053749999999999
4,16.040491
4,11.256176
4,12.671361
4,11.326376
4,
4,
4,
4,
4,
5,13.846921
5,18.84797
5,11.221624
5,12.057654999999999
5,13.391943
5,
5,
5,
5,
5,
6,65.033376
6,17.48911
6,11.721001999999999
6,11.774301999999999
6,11.612472
6,
6,
6,
6,
6,
7,15.606193
7,13.236194
7,12.298256
7,50.684512999999995
7,14.707493999999999
7,
7,
7,
7,
7,
8,14.271173
8,12.805123
8,11.518246999999999
8,12.386930999999999
8,11.811335999999999
8,
8,
8,
8,
8,
9,14.029307999999999
9,13.114002999999999
9,12.448701999999999
9,14.064416
9,13.834678
9,
9,
9,
9,
9,
10,15.913791999999999
10,17.146759
10,11.443837
10,12.814134
10,11.86714
10,
10,
10,
10,
10,
20,15.777695
20,12.092239
20,12.594280999999999
20,12.190318
20,11.666177
20,
20,
20,
20,
20,
30,14.964068
30,16.63508
30,16.452545999999998
30,11.537072
30,13.136712999999999
30,
30,
30,
30,
30,
40,15.510278
40,20.693365
40,12.627766999999999
40,13.190437
40,12.781220999999999
40,
40,
40,
40,
40,
50,18.267112
50,17.894855
50,53.016189
50,13.621908999999999
50,12.609415
50,
50,
50,
50,
50,
60,17.783652
60,14.589089999999999
60,14.047697
60,13.860432
60,13.797077
60,
60,
60,
60,
60,
70,17.230247
70,19.702956
70,14.493542
70,15.255913999999999
70,14.809159
70,
70,
70,
70,
70,
80,15.349262999999999
80,16.449709
80,14.499832
80,14.633046
80,14.750734999999999
80,
80,
80,
80,
80,
90,19.684711
90,15.882615999999999
90,14.088135999999999
90,14.961922
90,16.591202
90,
90,
90,
90,
90,
100,17.023077
100,20.467595
100,17.666238
100,13.915507999999999
100,14.011356999999999
100,
100,
100,
100,
100,
200,21.172518
200,19.998262
200,18.525496
200,17.342143
200,18.19261
200,
200,
200,
200,
200,
300,25.76408
300,23.754141
300,21.978047999999998
300,22.285906999999998
300,21.708723
300,
300,
300,
300,
300,
400,30.560299999999998
400,27.630166
400,27.403432
400,29.960586
400,27.59574
400,
400,
400,
400,
400,
500,35.656816
500,33.870855
500,29.412087999999997
500,30.986455999999997
500,29.712245
500,
500,
500,
500,
500,
600,36.14319
600,35.497669
600,35.930412
600,36.748318
600,34.500306
600,
600,
600,
600,
600,
700,45.167586
700,42.214979
700,40.760062
700,39.294858999999995
700,41.551747
700,
700,
700,
700,
700,
800,47.419399
800,51.935207
800,47.872892
800,47.125330999999996
800,89.01470499999999
800,
800,
800,
800,
800,
900,51.617579
900,50.339209
900,51.924122999999994
900,52.390668999999995
900,50.747201
900,
900,
900,
900,
900,
1000,62.412431999999995
1000,99.61267
1000,57.226952999999995
1000,56.516808999999995
1000,59.090368
1000,
1000,
1000,
1000,
1000,
