nodes,1_metadata_mismatches,2_metadata_mismatches,3_metadata_mismatches,4_metadata_mismatches,5_metadata_mismatches,6_metadata_mismatches,7_metadata_mismatches,8_metadata_mismatches,9_metadata_mismatches,10_metadata_mismatches,20_metadata_mismatches,30_metadata_mismatches,40_metadata_mismatches,50_metadata_mismatches,60_metadata_mismatches,70_metadata_mismatches,80_metadata_mismatches,90_metadata_mismatches,100_metadata_mismatches,200_metadata_mismatches,300_metadata_mismatches,400_metadata_mismatches,500_metadata_mismatches,600_metadata_mismatches,700_metadata_mismatches,800_metadata_mismatches,900_metadata_mismatches,1000_metadata_mismatches
10,0.794766,0.799755,0.8352569999999999,0.762671,0.982706,0.850498,1.0441449999999999,0.923951,0.9423729999999999,1.099726,1.329788,1.9275879999999999,2.221365,2.2356949999999998,2.484072,2.77871,3.501956,3.277425,3.484625,10.286282,8.466564,11.471954,13.86093,17.032861999999998,20.688852999999998,28.444391999999997,31.592453,30.186657
10,1.345079,1.131703,1.184643,1.2959669999999999,1.259248,1.270062,1.264611,1.375909,1.384455,1.35716,1.706697,2.043049,2.2348049999999997,2.217543,2.600348,2.777096,3.217726,3.400346,3.49397,8.938856,8.41268,11.251506,14.326972,16.927029,25.016015,23.018641,27.993323,33.425233
10,1.165508,1.117332,1.212678,1.249722,1.2878699999999998,1.369773,1.12821,1.221943,1.297226,1.398777,1.443406,1.81713,2.147716,2.205482,2.4162019999999997,2.643731,2.845011,3.1190599999999997,3.497873,6.924405999999999,9.440144,12.475710999999999,15.385828,22.403398,27.315852999999997,28.431244,34.365643999999996,36.325779
10,1.5349409999999999,1.22499,1.243133,1.1834719999999999,1.1170849999999999,1.086253,1.21831,1.16891,1.266939,1.2443579999999999,1.486065,1.720704,2.019132,2.2849079999999997,2.395245,2.618798,3.0609699999999997,3.52154,3.621619,5.874978,8.788743,11.43726,13.926089,16.227225,20.47498,24.2136,39.078469,31.028934999999997
10,1.166417,1.104263,1.04503,5.254214,1.104844,1.134105,1.384601,1.233017,1.281496,1.2124249999999999,1.586824,1.8610579999999999,2.125952,2.364745,2.553493,2.915281,3.087446,3.535507,3.5498979999999998,6.190265999999999,11.927723,11.800887,17.252516,18.474634,21.191159,26.953787,29.816893999999998,33.500599
10,2.238225,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.120097,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.089686,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.11428,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.196211,,,,,,,,,,,,,,,,,,,,,,,,,,,
