metadata,1000_nodes
1,122.957782
1,219.593494
1,221.887574
1,196.28849599999998
1,199.265119
2,208.665742
2,207.473659
2,203.908376
2,207.766979
2,210.569372
3,208.87479199999999
3,214.44113199999998
3,209.943265
3,211.835003
3,221.281733
4,218.20091399999998
4,216.503482
4,220.16248099999999
4,217.16221
4,218.12555999999998
5,212.698693
5,211.039965
5,218.516103
5,219.083134
5,229.388514
6,221.813371
6,222.34942099999998
6,221.10460899999998
6,223.104218
6,217.868709
7,229.513873
7,220.9752
7,245.548204
7,225.202336
7,212.912544
8,226.47215699999998
8,222.35508399999998
8,231.81485099999998
8,226.872436
8,235.654555
9,227.277528
9,254.000092
9,232.120522
9,233.45800799999998
9,235.90125899999998
10,245.85316699999998
10,234.348647
10,227.888654
10,242.413263
10,480.369448
20,259.208489
20,270.346896
20,291.64908399999996
20,279.46880799999997
20,461.556026
30,304.269613
30,293.24506299999996
30,288.772264
30,279.45008
30,285.510493
40,317.177306
40,322.55336
40,318.345458
40,324.682633
40,311.841386
50,346.483133
50,363.793945
50,344.177447
50,349.818989
50,350.46613099999996
60,392.590673
60,650.7287319999999
60,383.815878
60,367.584773
60,409.85215
70,398.376133
70,416.90238899999997
70,423.95937799999996
70,393.392108
70,458.10542399999997
80,432.62209199999995
80,443.887255
80,447.461883
80,450.60871299999997
80,436.38401799999997
90,470.514866
90,466.832969
90,441.437776
90,448.031456
90,451.240529
100,486.85509099999996
100,493.69994399999996
100,424.896325
100,446.199323
100,433.248703
200,782.130898
200,816.13028
200,862.039868
200,777.523188
200,1048.1042869999999
300,1175.448142
300,1091.618319
300,1158.201844
300,1181.291037
300,1118.859036
400,1439.701861
400,1532.01616
400,1496.620929
400,1684.810456
400,1447.865509
500,1824.014467
500,2030.8316499999999
500,1876.092326
500,1834.844576
500,1912.706162
600,2172.4184419999997
600,2535.749986
600,2445.447343
600,2410.89388
600,2123.2613619999997
700,2599.677162
700,2890.2490709999997
700,2658.0068969999998
700,2917.38859
700,2872.858652
800,3197.1129
800,3329.8637439999998
800,3288.625259
800,2931.327172
800,3126.007446
900,3565.748556
900,3692.730596
900,3955.77727
900,3233.735327
900,3533.0391099999997
1000,3599.271778
1000,3864.2800439999996
1000,3610.490902
1000,3577.550203
1000,3800.375912
