metadata,1000_nodes
1,1661.6051049999999
1,1679.1906999999999
1,1655.1788669999999
1,1678.381886
1,1646.6918429999998
2,1680.61277
2,1660.824529
2,1669.265935
2,1696.248388
2,1653.763424
3,1682.111856
3,1646.363349
3,1672.563588
3,1693.896208
3,1640.650809
4,1701.959531
4,1687.3142719999998
4,1689.5538999999999
4,1690.8118809999999
4,1632.424763
5,1705.6789219999998
5,1692.140209
5,1709.714675
5,1691.098109
5,1698.40923
6,1694.782397
6,1667.876049
6,1732.504868
6,1685.043203
6,1689.654751
7,1834.589722
7,1658.4140229999998
7,1683.996833
7,1698.457933
7,1661.457207
8,1698.183527
8,1707.972691
8,1714.657641
8,1689.951253
8,1671.11447
9,1734.305463
9,1670.7235839999998
9,1709.4271729999998
9,1705.910521
9,1679.074553
10,1726.746874
10,1692.990521
10,1729.4973499999999
10,1709.245291
10,1651.387667
20,1697.1224109999998
20,1702.804324
20,1706.866319
20,1684.5100149999998
20,1671.674976
30,1748.798627
30,1806.715518
30,1739.395178
30,1722.273269
30,1706.0763339999999
40,1766.513774
40,1774.2251299999998
40,1741.06883
40,1765.7135269999999
40,1734.393683
50,1790.788809
50,1796.730032
50,1797.6475429999998
50,1762.612465
50,1783.2306199999998
60,1880.684127
60,1844.0989949999998
60,1822.086865
60,1799.704712
60,1811.5125759999999
70,1892.4081899999999
70,2086.366459
70,1871.568693
70,1833.556774
70,1822.3537239999998
80,1907.848311
80,1924.7383889999999
80,1889.228832
80,1869.778141
80,2010.2851679999999
90,2048.000291
90,1937.3801389999999
90,1940.3471969999998
90,1952.756931
90,1886.9129799999998
100,1917.652118
100,2014.846899
100,1944.650077
100,1951.259953
100,1949.1152069999998
200,2623.8186969999997
200,2402.819523
200,2365.6573319999998
200,2411.039874
200,2363.9578269999997
300,2746.7056749999997
300,3083.602054
300,2782.3299979999997
300,2768.2591399999997
300,2799.953336
400,3317.058291
400,3217.781873
400,3150.9266079999998
400,3293.6991089999997
400,3125.676097
500,3609.720113
500,3590.85585
500,3862.906741
500,3584.691832
500,3608.906827
600,4126.642056
600,3874.667994
600,3792.346131
600,3989.5176899999997
600,3896.94929
700,4404.411577
700,4430.53909
700,4665.342678
700,4390.121392999999
700,4515.541106
800,4918.145139
800,5505.961538
800,4906.299016999999
800,4525.725925
800,4656.305805
900,4918.5937269999995
900,5416.015308
900,4892.44982
900,4984.420908
900,5248.561729
1000,5601.660455
1000,5604.716961
1000,5255.903968
1000,5481.349004
1000,5883.632246
