metadata,1000_nodes
1,9450.927192
1,9840.991365
1,9391.365829999999
1,9206.544979
1,9622.80092
2,9503.497062999999
2,9694.331092999999
2,9311.316163
2,9274.756485
2,9606.246073999999
3,9743.660521
3,9689.970501
3,9485.379958
3,9227.063919
3,9523.316582
4,9450.692879999999
4,9901.888259
4,9384.193787999999
4,9213.215976
4,9495.644744
5,9852.487423999999
5,9779.572798
5,9820.558976999999
5,9490.225833
5,9785.704946
6,9876.462899
6,9799.833083
6,9560.252838999999
6,9231.45701
6,9728.538066
7,10120.543049
7,9635.727899
7,9362.015683
7,9416.899422
7,9778.563812
8,9773.425435
8,10017.111437
8,9817.150118
8,9571.457994999999
8,10061.839533
9,9649.420678
9,9825.603826999999
9,9855.054001
9,9408.31437
9,9723.155621
10,10078.364134
10,9957.495019
10,9695.201274
10,9609.976674
10,9677.420129
20,9686.581407
20,10013.403033999999
20,9713.233709
20,9415.52105
20,9807.263315999999
30,9824.955923
30,10468.915759
30,9863.422931
30,9427.657039
30,9728.804323
40,9680.339277
40,10249.571554
40,9518.752504
40,9493.686328
40,9964.412314
50,9876.983036
50,10018.133166
50,9565.445607
50,9500.361619
50,11413.300540999999
60,10220.804576999999
60,10448.324499
60,9795.587978
60,9559.101177999999
60,10966.555269999999
70,10069.513584999999
70,10592.684973
70,9791.348215
70,9568.474277
70,10049.190911
80,9985.032803
80,10867.132348
80,9732.295497
80,9851.290786
80,10281.69166
90,10595.334498999999
90,10578.421644
90,9880.97039
90,10013.811161
90,10406.323768999999
100,2723.663958
100,2753.468685
100,2817.35794
100,2707.9550999999997
100,2732.8704829999997
200,11308.540476
200,11207.989892
200,10788.543279
200,10586.949481
200,11006.002698999999
300,11364.498425
300,12241.725897999999
300,11175.878095
300,11181.717947
300,11631.650431
400,12440.551185
400,13138.671365999999
400,13248.481359
400,11988.261885
400,12751.832859999999
500,13234.886652
500,13229.541533
500,13155.973011999999
500,12579.879584999999
500,13229.071676
600,13485.395138
600,13639.450221
600,13486.475094
600,13625.835589999999
600,13572.733563
700,15044.866124999999
700,14655.314621
700,15565.242846
700,13980.31734
700,14639.914654
800,14902.343578
800,15401.921531999998
800,15206.10145
800,14468.989630999999
800,14925.72683
900,15247.446430999998
900,15818.751452999999
900,15229.188121
900,14837.336535999999
900,15735.668953999999
1000,12799.681536999999
1000,12732.756731
1000,12631.892591
1000,12885.363157
1000,13056.308610999999
