nodes,1_metadata_mismatches
1,373.67663699999997
1,6.894829
1,4.918493
1,4.844296
1,6.559168
2,23.726101
2,31.646065999999998
2,11.036446999999999
2,10.663283
2,11.295017999999999
3,42.125648
3,17.670424
3,15.30796
3,16.256411
3,15.105291999999999
4,53.221163
4,25.905834
4,22.266052
4,23.408296
4,23.801256
5,68.870938
5,35.21376
5,27.067041999999997
5,28.224131
5,30.959726
6,90.98867899999999
6,38.492014999999995
6,37.192257
6,36.982395
6,40.470202
7,99.11586899999999
7,48.432193999999996
7,49.137282
7,45.540102999999995
7,45.932418999999996
8,131.878199
8,64.041125
8,52.130582999999994
8,51.809858
8,70.38216899999999
9,111.466248
9,65.20765899999999
9,67.66631199999999
9,64.115777
9,65.743551
10,119.024345
10,84.29334899999999
10,76.459274
10,74.06079
10,69.380675
20,280.25052999999997
20,222.40052699999998
20,219.74431199999998
20,212.479876
20,218.753819
30,462.134409
30,434.92567499999996
30,411.17076099999997
30,404.46367999999995
30,407.082928
40,885.6235419999999
40,673.010813
40,684.072139
40,630.807192
40,663.767401
50,1120.289889
50,927.159669
50,1005.3722879999999
50,971.809257
50,964.576514
60,1575.586404
60,1322.219512
60,1386.5936749999998
60,1326.46212
60,1370.81199
70,1990.1020039999999
70,1801.263722
70,1848.319205
70,1821.8998419999998
70,1829.843696
80,2511.770814
80,2445.0348369999997
80,2383.447917
80,2417.997172
80,2339.464427
90,3128.298031
90,3032.535672
90,2940.7235929999997
90,3011.146778
90,2982.477441
100,3817.1456319999998
100,3683.0407649999997
100,3629.023092
100,3201.028002
100,3652.254664
200,13306.846583999999
200,11862.461119
200,13758.135295
200,11345.951562999999
200,12664.524026
300,29796.207931999998
300,26208.673811
300,25647.660716
300,26864.086432
300,26423.08322
400,49281.559113999996
400,48421.830173999995
400,46259.933528999994
400,49504.957489
400,49425.880355
500,75678.937355
500,74558.8521
500,67757.819293
500,73917.468148
500,75557.449646
600,108456.741471
600,106880.79041
600,107650.109419
600,106056.957115
600,102891.810952
700,146314.369522
700,145052.397221
700,145053.210248
700,144351.371868
700,143921.180896
800,187502.414103
800,191375.240777
800,185245.262426
800,187624.638183
800,186786.82968999998
900,243085.25524199998
900,247481.529025
900,235752.56233299998
900,241998.003955
900,244031.78331499998
1000,296410.379408
1000,291794.84813999996
1000,295491.398167
1000,297836.180105
1000,296861.90921199997
