nodes,1000_metadata_mismatches
1,6.63613
1,4.415507
1,4.5037139999999996
1,2.967691
1,2.840681
1,4.083699
1,3.4685099999999998
1,3.2975999999999996
1,3.65788
1,3.313555
2,8.206871999999999
2,5.9016269999999995
2,5.7297709999999995
2,6.202597
2,6.079032
2,
2,
2,
2,
2,
3,17.450989
3,11.685865999999999
3,8.363579999999999
3,8.795338
3,9.973550999999999
3,11.28379
3,8.895874
3,8.664643
3,8.627127
3,9.814570999999999
4,11.243203999999999
4,11.380365
4,12.077496
4,12.065824
4,15.853745
4,
4,
4,
4,
4,
5,14.70657
5,15.638231999999999
5,15.163694999999999
5,18.372509
5,16.108936
5,
5,
5,
5,
5,
6,17.325588
6,16.930433
6,22.102555
6,17.898146999999998
6,18.623611
6,
6,
6,
6,
6,
7,23.070797
7,20.335172999999998
7,24.272561
7,20.598271999999998
7,27.461972
7,
7,
7,
7,
7,
8,22.081867
8,25.539790999999997
8,34.619413
8,22.703014
8,28.025131
8,
8,
8,
8,
8,
9,28.295292
9,29.062735999999997
9,38.064980999999996
9,34.494791
9,32.002047
9,
9,
9,
9,
9,
10,30.535369
10,31.436556999999997
10,40.055681
10,38.162842999999995
10,32.293434999999995
10,
10,
10,
10,
10,
20,61.23018
20,126.879279
20,78.580957
20,74.031087
20,78.363215
20,
20,
20,
20,
20,
30,98.49013099999999
30,174.98443999999998
30,114.394818
30,120.016819
30,94.310712
30,
30,
30,
30,
30,
40,131.675299
40,217.871527
40,132.482868
40,129.194574
40,128.99345599999998
40,
40,
40,
40,
40,
50,171.867074
50,257.89552
50,164.070102
50,168.629369
50,168.002358
50,
50,
50,
50,
50,
60,210.732866
60,295.275316
60,206.057717
60,207.662838
60,202.837885
60,
60,
60,
60,
60,
70,318.78128399999997
70,316.397264
70,253.391919
70,247.87193399999998
70,242.474212
70,
70,
70,
70,
70,
80,354.234518
80,370.152496
80,317.406838
80,315.907237
80,299.543237
80,
80,
80,
80,
80,
90,315.30100799999997
90,301.505248
90,295.135848
90,320.134867
90,318.055493
90,
90,
90,
90,
90,
100,344.304257
100,422.31751199999997
100,346.63131
100,348.95460499999996
100,342.74697599999996
100,
100,
100,
100,
100,
200,710.8395879999999
200,822.318763
200,683.571522
200,666.210387
200,708.7418289999999
200,
200,
200,
200,
200,
300,1101.721226
300,1192.136501
300,1256.732773
300,1091.902866
300,1105.443651
300,
300,
300,
300,
300,
400,1430.07135
400,1590.490014
400,1562.371962
400,1533.6464039999998
400,1528.223824
400,
400,
400,
400,
400,
500,1777.140201
500,2116.603134
500,1854.005524
500,1810.254583
500,2136.541456
500,
500,
500,
500,
500,
600,2199.8643589999997
600,2319.934571
600,2156.483791
600,2127.733573
600,2287.735167
600,
600,
600,
600,
600,
700,2752.9165599999997
700,2483.7515989999997
700,2804.244968
700,2765.908767
700,2560.455582
700,
700,
700,
700,
700,
800,3169.89434
800,3224.072631
800,3361.504426
800,3131.432109
800,3228.8317859999997
800,
800,
800,
800,
800,
900,3382.1157909999997
900,3521.0012709999996
900,3365.848729
900,3520.7455339999997
900,3243.0801039999997
900,
900,
900,
900,
900,
1000,3614.8876179999997
1000,3827.0727119999997
1000,3627.0547739999997
1000,3596.5267059999996
1000,3628.143235
1000,
1000,
1000,
1000,
1000,
