nodes,1000_metadata_mismatches
1,120.061762
1,88.468412
1,74.691364
1,74.208693
1,79.389443
1,77.403391
1,70.611915
1,68.448483
1,68.347531
1,73.440867
2,88.68038299999999
2,77.031706
2,79.449088
2,79.041048
2,83.263262
2,
2,
2,
2,
2,
3,102.729627
3,106.021131
3,91.22482699999999
3,90.78572799999999
3,91.99209499999999
3,143.72395
3,89.952652
3,92.708112
3,91.136201
3,92.193933
4,102.16938499999999
4,132.522109
4,100.041804
4,99.89151
4,108.79834799999999
4,
4,
4,
4,
4,
5,116.38228099999999
5,109.01657
5,114.09638199999999
5,110.368493
5,121.57799
5,
5,
5,
5,
5,
6,170.974338
6,121.192115
6,140.132688
6,122.43470099999999
6,134.92154399999998
6,
6,
6,
6,
6,
7,133.014059
7,123.219938
7,153.02090099999998
7,131.75352999999998
7,151.222184
7,
7,
7,
7,
7,
8,143.476623
8,133.78215699999998
8,159.59813699999998
8,148.812075
8,155.32685999999998
8,
8,
8,
8,
8,
9,154.569445
9,150.178027
9,175.88896699999998
9,167.104141
9,173.056411
9,
9,
9,
9,
9,
10,158.345415
10,157.01516999999998
10,185.55635099999998
10,171.419177
10,172.608962
10,
10,
10,
10,
10,
20,316.885763
20,259.739561
20,275.946771
20,280.601813
20,376.05836899999997
20,
20,
20,
20,
20,
30,410.285783
30,404.75167799999997
30,367.92702199999997
30,522.0600019999999
30,388.75922599999996
30,
30,
30,
30,
30,
40,594.937318
40,556.160818
40,610.7513339999999
40,532.8918209999999
40,531.4710759999999
40,
40,
40,
40,
40,
50,655.366312
50,688.022261
50,711.219783
50,675.228534
50,681.538681
50,
50,
50,
50,
50,
60,715.095859
60,817.634552
60,752.888157
60,734.7589899999999
60,776.659547
60,
60,
60,
60,
60,
70,815.9005109999999
70,832.140452
70,814.007667
70,844.1797019999999
70,835.4386959999999
70,
70,
70,
70,
70,
80,931.3269779999999
80,966.765893
80,926.252345
80,970.209565
80,917.666088
80,
80,
80,
80,
80,
90,1059.489463
90,1123.2838219999999
90,1032.407571
90,1000.906879
90,965.209473
90,
90,
90,
90,
90,
100,1115.556816
100,1103.821158
100,1134.73462
100,1109.652724
100,1251.821056
100,
100,
100,
100,
100,
200,2215.239297
200,2346.160336
200,2143.876342
200,2202.296915
200,2256.76428
200,
200,
200,
200,
200,
300,3291.217968
300,3445.770536
300,3323.754858
300,3314.064255
300,3380.426723
300,
300,
300,
300,
300,
400,4564.918042
400,4608.080615
400,4418.786419999999
400,4641.386251
400,4525.736957
400,
400,
400,
400,
400,
500,5789.501391
500,5866.9981689999995
500,5773.532338
500,5538.997057
500,5801.516130999999
500,
500,
500,
500,
500,
600,6900.64624
600,6952.431239
600,6978.953998999999
600,7042.588017
600,7122.197274
600,
600,
600,
600,
600,
700,8330.590570999999
700,8666.938821
700,8578.958908
700,8332.367533999999
700,8368.783441
700,
700,
700,
700,
700,
800,10355.927711999999
800,10251.260961
800,10192.632907
800,11312.744542
800,9594.235336
800,
800,
800,
800,
800,
900,11065.525540999999
900,12703.371206
900,11186.508184999999
900,11099.256663999999
900,11273.522791
900,
900,
900,
900,
900,
1000,13083.464143
1000,12907.569049
1000,13141.534059
1000,12756.903809
1000,12680.689018
1000,
1000,
1000,
1000,
1000,
