metadata,1_nodes
1,0.642376
1,0.289697
1,0.317672
1,0.258696
1,0.266691
1,0.827619
1,0.266698
1,0.23274799999999998
1,0.244547
1,0.272777
2,1.388058
2,0.316297
2,0.23451799999999998
2,0.241565
2,0.325843
2,
2,
2,
2,
2,
3,0.255027
3,0.301114
3,0.224886
3,0.245474
3,0.322623
3,
3,
3,
3,
3,
4,0.28737
4,0.421361
4,0.299066
4,0.25649299999999997
4,0.316291
4,
4,
4,
4,
4,
5,0.24674
5,0.38258899999999996
5,0.231924
5,0.251227
5,0.322219
5,
5,
5,
5,
5,
6,0.425894
6,0.352386
6,0.9245549999999999
6,0.25725
6,0.26023999999999997
6,
6,
6,
6,
6,
7,0.27042099999999997
7,0.356579
7,0.308312
7,0.278738
7,0.28377399999999997
7,
7,
7,
7,
7,
8,0.324323
8,0.317166
8,0.31040599999999996
8,0.280049
8,0.301529
8,
8,
8,
8,
8,
9,0.26803299999999997
9,0.322195
9,0.555526
9,0.28585699999999997
9,0.297242
9,
9,
9,
9,
9,
10,0.33987999999999996
10,0.24637699999999998
10,0.23729499999999998
10,0.324878
10,0.31861999999999996
10,
10,
10,
10,
10,
20,0.37695599999999996
20,0.27391099999999996
20,0.27985099999999996
20,0.314436
20,0.313413
20,
20,
20,
20,
20,
30,0.33425099999999996
30,0.32131699999999996
30,0.316481
30,0.337934
30,0.362853
30,
30,
30,
30,
30,
40,0.387853
40,0.381326
40,0.33435499999999996
40,0.380755
40,0.399815
40,
40,
40,
40,
40,
50,0.468132
50,0.445054
50,0.457381
50,0.397425
50,0.5057309999999999
50,
50,
50,
50,
50,
60,0.471491
60,0.520095
60,0.42402599999999996
60,0.42591199999999996
60,0.532192
60,
60,
60,
60,
60,
70,0.643614
70,0.49599
70,0.47128499999999995
70,0.491177
70,0.527592
70,
70,
70,
70,
70,
80,0.473136
80,0.478446
80,0.460528
80,0.46432199999999996
80,0.547468
80,
80,
80,
80,
80,
90,0.495812
90,0.507357
90,0.572881
90,0.5893309999999999
90,0.568028
90,
90,
90,
90,
90,
100,0.581718
100,0.517981
100,0.568626
100,0.542639
100,0.622367
100,
100,
100,
100,
100,
200,0.993694
200,1.003626
200,0.9228149999999999
200,0.896301
200,0.9559129999999999
200,
200,
200,
200,
200,
300,1.316411
300,1.370213
300,1.292574
300,1.2492649999999998
300,1.380226
300,
300,
300,
300,
300,
400,1.7844989999999998
400,1.698133
400,1.7485279999999999
400,2.769879
400,1.714394
400,
400,
400,
400,
400,
500,3.625231
500,1.980645
500,2.086283
500,3.659563
500,2.129007
500,
500,
500,
500,
500,
600,2.557285
600,4.532348
600,2.44311
600,2.4730119999999998
600,2.4239889999999997
600,
600,
600,
600,
600,
700,3.172589
700,3.212115
700,2.961665
700,2.7516309999999997
700,3.604008
700,
700,
700,
700,
700,
800,3.22181
800,3.2310049999999997
800,3.196166
800,3.191985
800,3.396198
800,
800,
800,
800,
800,
900,3.522379
900,3.622616
900,5.15967
900,3.6553989999999996
900,5.341254
900,
900,
900,
900,
900,
1000,4.018279
1000,4.201339
1000,3.89601
1000,3.9705519999999996
1000,4.018293
1000,
1000,
1000,
1000,
1000,
