metadata,10_nodes
1,22.054211
1,15.995645999999999
1,15.104896
1,15.635441
1,16.493814
1,83.910719
1,76.596385
1,72.666404
1,91.06515499999999
1,75.40172799999999
2,77.947172
2,76.154376
2,73.917394
2,89.578985
2,74.365811
2,
2,
2,
2,
2,
3,74.25340899999999
3,71.732685
3,78.88805599999999
3,79.992592
3,74.229004
3,
3,
3,
3,
3,
4,122.24776999999999
4,75.712448
4,77.476556
4,124.52052099999999
4,75.374443
4,
4,
4,
4,
4,
5,74.86792899999999
5,78.10412099999999
5,83.34660199999999
5,89.742269
5,78.05407799999999
5,
5,
5,
5,
5,
6,87.994419
6,73.752707
6,76.278352
6,77.504458
6,77.656244
6,
6,
6,
6,
6,
7,74.921357
7,76.34738899999999
7,70.64219299999999
7,76.166433
7,81.528688
7,
7,
7,
7,
7,
8,74.661946
8,78.718159
8,77.902839
8,78.779033
8,128.10111
8,
8,
8,
8,
8,
9,83.973992
9,76.990819
9,83.11336299999999
9,78.644965
9,77.512491
9,
9,
9,
9,
9,
10,128.410235
10,85.890738
10,80.882823
10,80.893284
10,77.400224
10,
10,
10,
10,
10,
20,77.745558
20,76.303423
20,81.995071
20,77.83960499999999
20,75.486998
20,
20,
20,
20,
20,
30,79.13427899999999
30,76.55376
30,79.111012
30,78.907056
30,77.420962
30,
30,
30,
30,
30,
40,80.43606299999999
40,87.77521
40,80.499149
40,79.36495699999999
40,81.211677
40,
40,
40,
40,
40,
50,84.03895899999999
50,83.178659
50,75.464485
50,81.17934699999999
50,84.251391
50,
50,
50,
50,
50,
60,83.28215999999999
60,83.986254
60,81.049866
60,75.834622
60,85.42665199999999
60,
60,
60,
60,
60,
70,127.43080099999999
70,78.185705
70,77.688495
70,81.246078
70,80.371402
70,
70,
70,
70,
70,
80,82.598619
80,82.854202
80,79.065535
80,132.304902
80,84.673699
80,
80,
80,
80,
80,
90,83.00569
90,85.008489
90,84.563767
90,84.519348
90,85.75104499999999
90,
90,
90,
90,
90,
100,86.98849
100,82.77362
100,143.659043
100,81.643191
100,84.368471
100,
100,
100,
100,
100,
200,85.512001
200,86.62066399999999
200,101.231945
200,89.327193
200,143.395718
200,
200,
200,
200,
200,
300,98.108976
300,97.71163399999999
300,108.511226
300,96.042358
300,102.161863
300,
300,
300,
300,
300,
400,109.532079
400,113.034877
400,173.46213799999998
400,105.74846699999999
400,108.108103
400,
400,
400,
400,
400,
500,124.313577
500,121.58671799999999
500,127.677556
500,115.896518
500,116.169237
500,
500,
500,
500,
500,
600,192.613509
600,127.811399
600,137.84902599999998
600,128.384207
600,131.310573
600,
600,
600,
600,
600,
700,137.10073
700,143.783028
700,161.755593
700,138.33499
700,193.702892
700,
700,
700,
700,
700,
800,147.29544099999998
800,147.824986
800,165.349417
800,189.53770799999998
800,206.365783
800,
800,
800,
800,
800,
900,156.95413
900,158.891867
900,177.30542
900,152.915726
900,161.85863799999998
900,
900,
900,
900,
900,
1000,183.289213
1000,160.979916
1000,234.07110699999998
1000,172.39183799999998
1000,164.29686999999998
1000,
1000,
1000,
1000,
1000,
